tourney_id,tourney_name,surface,tourney_date,tourney_spectators,tourney_revenue
2019-M020,brisbane,Hard,2018-12-31,3928.0,742618.69
2019-0451,doha,Hard,2018-12-31,2923.0,550943.19
2019-0891,pune,Hard,2018-12-31,4062.0,1005592.39
2019-0301,auckland,Hard,2019-01-07,2784.0,489426.09
2019-M001,sydney,Hard,2019-01-07,3258.0,567644.24
2019-580,australian open,Hard,2019-01-14,15583.0,2781000.18
2019-9158,cordoba,Clay,2019-02-04,3768.0,579745.3
2019-0375,montpellier,Hard,2019-02-04,4656.0,894200.18
2019-7434,sofia,Hard,2019-02-04,4409.0,924807.77
2019-0506,buenos aires,Clay,2019-02-11,3419.0,715417.26
2019-0424,new york,Hard,2019-02-11,3308.0,645211.09
2019-0407,rotterdam,Hard,2019-02-11,3305.0,696724.19
2019-0499,delray beach,Hard,2019-02-18,3058.0,607459.69
2019-0496,marseille,Hard,2019-02-18,3699.0,902932.55
2019-6932,rio de janeiro,Clay,2019-02-18,2392.0,529903.18
2019-M004,acapulco,Hard,2019-02-25,3398.0,655207.08
2019-0495,dubai,Hard,2019-02-25,2559.0,548939.11
2019-0533,sao paulo,Clay,2019-02-25,2974.0,539517.41
2019-M006,indian wells masters,Hard,2019-03-04,9552.0,2484975.25
2019-M007,miami masters,Hard,2019-03-18,15751.0,1758612.85
2019-0717,houston,Clay,2019-04-08,4027.0,692693.85
2019-0360,marrakech,Clay,2019-04-08,2657.0,496815.47
2019-0410,monte carlo masters,Clay,2019-04-15,5172.0,1598960.12
2019-0425,barcelona,Clay,2019-04-22,8062.0,1627641.8
2019-7648,budapest,Clay,2019-04-22,2857.0,471165.25
2019-7290,estoril,Clay,2019-04-29,3670.0,793863.05
2019-0308,munich,Clay,2019-04-29,3053.0,691352.85
2019-M021,madrid masters,Clay,2019-05-06,7075.0,1713855.57
2019-M009,rome masters,Clay,2019-05-13,7672.0,1673097.12
2019-0322,geneva,Clay,2019-05-20,2531.0,616606.53
2019-7694,lyon,Clay,2019-05-20,4132.0,915008.72
2019-520,roland garros,Clay,2019-05-27,14419.0,1888254.93
2019-M010,s hertogenbosch,Grass,2019-06-10,2462.0,487848.44
2019-0321,stuttgart,Grass,2019-06-10,3880.0,716385.4
2019-0500,halle,Grass,2019-06-17,2102.0,389978.71
2019-0311,queen s club,Grass,2019-06-17,2768.0,592602.65
2019-7650,antalya,Grass,2019-06-24,3138.0,639718.34
2019-M016,eastbourne,Grass,2019-06-24,4516.0,868154.79
2019-540,wimbledon,Grass,2019-07-01,8964.0,1498510.45
2019-0316,bastad,Clay,2019-07-15,2119.0,419886.23
2019-0315,newport,Grass,2019-07-15,2909.0,625805.78
2019-0439,umag,Clay,2019-07-15,2651.0,459557.6
2019-6116,atlanta,Hard,2019-07-22,3669.0,852063.31
2019-0314,gstaad,Clay,2019-07-22,1459.0,260087.95
2019-0414,hamburg,Clay,2019-07-22,3870.0,831701.11
2019-0319,kitzbuhel,Clay,2019-07-29,3611.0,624969.91
2019-7480,los cabos,Hard,2019-07-29,2978.0,510534.39
2019-M035,washington,Hard,2019-07-29,6392.0,1337233.1
2019-0421,canada masters,Hard,2019-08-05,8154.0,1716294.21
2019-M024,cincinnati masters,Hard,2019-08-12,7759.0,1692353.55
2019-6242,winston salem,Hard,2019-08-19,8105.0,1063952.13
2019-560,us open,Hard,2019-08-26,17634.0,4672240.98
2019-0341,metz,Hard,2019-09-16,4106.0,760068.61
2019-0568,st  petersburg,Hard,2019-09-16,3677.0,786799.61
2019-7581,chengdu,Hard,2019-09-23,3014.0,675918.4
2019-9164,zhuhai,Hard,2019-09-23,3800.0,911940.46
