tourney_id,sex,draw_size,tourney_level
2019-M020,M,32.0,A
2019-M020,F,32.0,P
2019-0451,M,32.0,A
2019-0891,M,32.0,A
2019-0301,M,32.0,A
2019-M001,M,32.0,A
2019-M001,F,32.0,P
2019-580,M,128.0,G
2019-580,F,128.0,G
2019-9158,M,32.0,A
2019-0375,M,32.0,A
2019-7434,M,32.0,A
2019-0506,M,32.0,A
2019-0424,M,32.0,A
2019-0407,M,32.0,A
2019-0499,M,32.0,A
2019-0496,M,32.0,A
2019-6932,M,32.0,A
2019-M004,M,32.0,A
2019-M004,F,32.0,I
2019-0495,M,32.0,A
2019-0533,M,32.0,A
2019-M006,M,128.0,M
2019-M006,F,128.0,PM
2019-M007,M,128.0,M
2019-M007,F,128.0,PM
2019-0717,M,32.0,A
2019-0360,M,32.0,A
2019-0410,M,64.0,M
2019-0425,M,64.0,A
2019-7648,M,32.0,A
2019-7290,M,32.0,A
2019-0308,M,32.0,A
2019-M021,M,64.0,M
2019-M021,F,64.0,PM
2019-M009,M,64.0,M
2019-M009,F,64.0,P
2019-0322,M,32.0,A
2019-7694,M,32.0,A
2019-520,M,128.0,G
2019-520,F,128.0,G
2019-M010,M,32.0,A
2019-M010,F,32.0,I
2019-0321,M,32.0,A
2019-0500,M,32.0,A
2019-0311,M,32.0,A
2019-7650,M,32.0,A
2019-M016,M,32.0,A
2019-M016,F,64.0,P
2019-540,M,128.0,G
2019-540,F,128.0,G
2019-0316,M,32.0,A
2019-0315,M,32.0,A
2019-0439,M,32.0,A
2019-6116,M,32.0,A
2019-0314,M,32.0,A
2019-0414,M,32.0,A
2019-0319,M,32.0,A
2019-7480,M,32.0,A
2019-M035,M,64.0,A
2019-M035,F,32.0,I
2019-0421,M,64.0,M
2019-M024,M,64.0,M
2019-M024,F,64.0,P
2019-6242,M,64.0,A
2019-560,M,128.0,G
2019-560,F,128.0,G
2019-0341,M,32.0,A
2019-0568,M,32.0,A
2019-7581,M,32.0,A
2019-9164,M,32.0,A
